Source,Target,Relation,Directed
29,53,anya,Yes
29,46,anya,Yes
29,31,anya,Yes
29,34,anya,Yes
29,47,anya,Yes
29,51,anya,Yes
29,35,anya,Yes
29,27,anya,Yes
29,42,anya,Yes
29,44,anya,Yes
29,40,anya,Yes
29,32,anya,Yes
29,36,anya,Yes
29,49,anya,Yes
28,31,apa,Yes
28,34,apa,Yes
28,35,apa,Yes
28,27,apa,Yes
28,32,apa,Yes
28,36,apa,Yes
28,42,apa,Yes
28,44,apa,Yes
28,40,apa,Yes
28,53,apa,Yes
28,46,apa,Yes
28,47,apa,Yes
28,51,apa,Yes
28,49,apa,Yes
28,29,házastárs,No
13,34,keresztszülő,Yes
13,35,keresztszülő,Yes
15,28,keresztszülő,Yes
16,36,keresztszülő,Yes
16,46,keresztszülő,Yes
28,63,keresztszülő,Yes
28,89,keresztszülő,Yes
28,86,keresztszülő,Yes
29,65,keresztszülő,Yes
29,62,keresztszülő,Yes
29,61,keresztszülő,Yes
29,60,keresztszülő,Yes
29,70,keresztszülő,Yes
30,31,keresztszülő,Yes
30,27,keresztszülő,Yes
33,32,keresztszülő,Yes
37,29,keresztszülő,Yes
37,36,keresztszülő,Yes
41,40,keresztszülő,Yes
43,42,keresztszülő,Yes
45,44,keresztszülő,Yes
48,47,keresztszülő,Yes
50,49,keresztszülő,Yes
52,51,keresztszülő,Yes
54,53,keresztszülő,Yes
