Source,Target,Relation,Directed
13,16,házastárs,No
13,20,apa,Yes
13,22,apa,Yes
13,23,apa,Yes
13,25,apa,Yes
13,75,keresztszülő,Yes
13,34,keresztszülő,Yes
13,81,keresztszülő,Yes
13,35,keresztszülő,Yes
13,92,keresztszülő,Yes
13,71,keresztszülő,Yes
13,82,keresztszülő,Yes
13,80,keresztszülő,Yes
13,57,keresztszülő,Yes
15,13,keresztszülő,Yes
16,20,anya,Yes
16,22,anya,Yes
16,23,anya,Yes
16,25,anya,Yes
21,20,keresztszülő,Yes
24,23,keresztszülő,Yes
26,25,keresztszülő,Yes
19,22,keresztszülő,Yes
19,16,keresztszülő,Yes
16,77,keresztszülő,Yes
16,46,keresztszülő,Yes
16,84,keresztszülő,Yes
16,76,keresztszülő,Yes
16,83,keresztszülő,Yes
16,85,keresztszülő,Yes
16,36,keresztszülő,Yes
