Source,Target,Relation,Directed
56,50,keresztszülő,Yes
57,50,házastárs,No
50,49,keresztszülő,Yes
50,60,anya,Yes
50,61,anya,Yes
50,62,anya,Yes
50,63,anya,Yes
50,64,anya,Yes
50,65,anya,Yes
50,66,anya,Yes
50,68,keresztszülő,Yes
13,57,keresztszülő,Yes
57,60,apa,Yes
57,61,apa,Yes
57,62,apa,Yes
57,63,apa,Yes
57,64,apa,Yes
57,65,apa,Yes
57,66,apa,Yes
29,60,keresztszülő,Yes
29,61,keresztszülő,Yes
29,62,keresztszülő,Yes
29,65,keresztszülő,Yes
28,63,keresztszülő,Yes
48,64,keresztszülő,Yes
67,66,keresztszülő,Yes
