Source,Target,Relation,Directed
3,1,anya,Yes
3,5,anya,Yes
3,10,anya,Yes
3,12,anya,Yes
8,3,anya,Yes
14,13,anya,Yes
14,28,anya,Yes
14,48,anya,Yes
16,20,anya,Yes
16,22,anya,Yes
16,23,anya,Yes
16,25,anya,Yes
18,16,anya,Yes
18,75,anya,Yes
18,76,anya,Yes
29,27,anya,Yes
29,31,anya,Yes
29,32,anya,Yes
29,34,anya,Yes
29,35,anya,Yes
29,36,anya,Yes
29,40,anya,Yes
29,42,anya,Yes
29,44,anya,Yes
29,46,anya,Yes
29,47,anya,Yes
29,49,anya,Yes
29,51,anya,Yes
29,53,anya,Yes
39,29,anya,Yes
50,60,anya,Yes
50,61,anya,Yes
50,62,anya,Yes
50,63,anya,Yes
50,64,anya,Yes
50,65,anya,Yes
50,66,anya,Yes
55,50,anya,Yes
59,56,anya,Yes
59,57,anya,Yes
69,68,anya,Yes
69,70,anya,Yes
73,71,anya,Yes
77,80,anya,Yes
77,81,anya,Yes
77,82,anya,Yes
77,83,anya,Yes
77,84,anya,Yes
77,85,anya,Yes
79,77,anya,Yes
88,86,anya,Yes
91,89,anya,Yes
94,92,anya,Yes
2,1,apa,Yes
2,5,apa,Yes
2,10,apa,Yes
2,12,apa,Yes
6,2,apa,Yes
6,13,apa,Yes
6,28,apa,Yes
6,48,apa,Yes
6,50,apa,Yes
7,3,apa,Yes
13,20,apa,Yes
13,22,apa,Yes
13,23,apa,Yes
13,25,apa,Yes
17,16,apa,Yes
17,75,apa,Yes
17,76,apa,Yes
28,27,apa,Yes
28,31,apa,Yes
28,32,apa,Yes
28,34,apa,Yes
28,35,apa,Yes
28,36,apa,Yes
28,40,apa,Yes
28,42,apa,Yes
28,44,apa,Yes
28,46,apa,Yes
28,47,apa,Yes
28,49,apa,Yes
28,51,apa,Yes
28,53,apa,Yes
38,29,apa,Yes
48,68,apa,Yes
48,70,apa,Yes
57,60,apa,Yes
57,61,apa,Yes
57,62,apa,Yes
57,63,apa,Yes
57,64,apa,Yes
57,65,apa,Yes
57,66,apa,Yes
58,56,apa,Yes
58,57,apa,Yes
67,80,apa,Yes
67,81,apa,Yes
67,82,apa,Yes
67,83,apa,Yes
67,84,apa,Yes
67,85,apa,Yes
72,71,apa,Yes
78,77,apa,Yes
87,86,apa,Yes
90,89,apa,Yes
93,92,apa,Yes
2,3,házastárs,No
6,14,házastárs,No
6,55,házastárs,No
7,8,házastárs,No
13,16,házastárs,No
17,18,házastárs,No
21,19,házastárs,No
28,29,házastárs,No
30,37,házastárs,No
38,39,házastárs,No
48,69,házastárs,No
57,50,házastárs,No
58,59,házastárs,No
67,77,házastárs,No
71,56,házastárs,No
72,73,házastárs,No
78,79,házastárs,No
87,88,házastárs,No
90,91,házastárs,No
93,94,házastárs,No
95,26,házastárs,No
4,1,keresztszülő,Yes
4,2,keresztszülő,Yes
4,5,keresztszülő,Yes
9,3,keresztszülő,Yes
11,10,keresztszülő,Yes
11,12,keresztszülő,Yes
13,34,keresztszülő,Yes
13,35,keresztszülő,Yes
13,57,keresztszülő,Yes
13,71,keresztszülő,Yes
13,75,keresztszülő,Yes
13,80,keresztszülő,Yes
13,81,keresztszülő,Yes
13,82,keresztszülő,Yes
13,92,keresztszülő,Yes
15,13,keresztszülő,Yes
15,28,keresztszülő,Yes
16,36,keresztszülő,Yes
16,46,keresztszülő,Yes
16,76,keresztszülő,Yes
16,77,keresztszülő,Yes
16,83,keresztszülő,Yes
16,84,keresztszülő,Yes
16,85,keresztszülő,Yes
19,16,keresztszülő,Yes
19,22,keresztszülő,Yes
21,20,keresztszülő,Yes
24,23,keresztszülő,Yes
26,25,keresztszülő,Yes
28,63,keresztszülő,Yes
28,86,keresztszülő,Yes
28,89,keresztszülő,Yes
29,60,keresztszülő,Yes
29,61,keresztszülő,Yes
29,62,keresztszülő,Yes
29,65,keresztszülő,Yes
29,70,keresztszülő,Yes
30,27,keresztszülő,Yes
30,31,keresztszülő,Yes
33,32,keresztszülő,Yes
37,29,keresztszülő,Yes
37,36,keresztszülő,Yes
41,40,keresztszülő,Yes
43,42,keresztszülő,Yes
45,44,keresztszülő,Yes
48,47,keresztszülő,Yes
48,64,keresztszülő,Yes
50,49,keresztszülő,Yes
50,68,keresztszülő,Yes
52,51,keresztszülő,Yes
54,53,keresztszülő,Yes
56,50,keresztszülő,Yes
67,48,keresztszülő,Yes
67,66,keresztszülő,Yes
67,86,keresztszülő,Yes
74,56,keresztszülő,Yes
